date,product_id,product,category,city,holiday,units_sold
2024-06-01,P001,Milk,Dairy,Mumbai,None,64
2024-06-01,P001,Milk,Dairy,Hyderabad,None,73
2024-06-01,P001,Milk,Dairy,Pune,None,57
2024-06-01,P002,Bread,Bakery,Bangalore,None,106
2024-06-01,P002,Bread,Bakery,Chennai,None,74
2024-06-01,P002,Bread,Bakery,Hyderabad,None,102
2024-06-01,P003,Yogurt,Dairy,Pune,None,44
2024-06-01,P003,Yogurt,Dairy,Bangalore,None,55
2024-06-01,P003,Yogurt,Dairy,Delhi,None,72
2024-06-01,P004,Cheese,Dairy,Bangalore,None,42
2024-06-01,P004,Cheese,Dairy,Kolkata,None,35
2024-06-01,P004,Cheese,Dairy,Chennai,None,90
2024-06-01,P005,Juice,Beverage,Hyderabad,None,35
2024-06-01,P005,Juice,Beverage,Chennai,None,82
2024-06-01,P005,Juice,Beverage,Bangalore,None,92
2024-06-01,P006,Butter,Dairy,Chennai,None,56
2024-06-01,P006,Butter,Dairy,Hyderabad,None,55
2024-06-01,P006,Butter,Dairy,Pune,None,53
2024-06-01,P007,Eggs,Dairy,Pune,None,97
2024-06-01,P007,Eggs,Dairy,Hyderabad,None,112
2024-06-01,P007,Eggs,Dairy,Chennai,None,55
2024-06-01,P008,Paneer,Dairy,Pune,None,79
2024-06-01,P008,Paneer,Dairy,Mumbai,None,42
2024-06-01,P008,Paneer,Dairy,Bangalore,None,84
2024-06-01,P009,Spinach,Produce,Mumbai,None,36
2024-06-01,P009,Spinach,Produce,Bangalore,None,85
2024-06-01,P009,Spinach,Produce,Pune,None,108
2024-06-01,P010,Tomato,Produce,Pune,None,120
2024-06-01,P010,Tomato,Produce,Delhi,None,99
2024-06-01,P010,Tomato,Produce,Chennai,None,61
2024-06-01,P011,Onion,Produce,Chennai,None,56
2024-06-01,P011,Onion,Produce,Bangalore,None,50
2024-06-01,P011,Onion,Produce,Hyderabad,None,70
2024-06-01,P012,Apple,Fruit,Chennai,None,39
2024-06-01,P012,Apple,Fruit,Kolkata,None,71
2024-06-01,P012,Apple,Fruit,Pune,None,84
2024-06-01,P013,Banana,Fruit,Bangalore,None,60
2024-06-01,P013,Banana,Fruit,Kolkata,None,73
2024-06-01,P013,Banana,Fruit,Mumbai,None,110
2024-06-01,P014,Chicken,Meat,Mumbai,None,106
2024-06-01,P014,Chicken,Meat,Bangalore,None,34
2024-06-01,P014,Chicken,Meat,Delhi,None,78
2024-06-01,P015,Fish,Meat,Kolkata,None,105
2024-06-01,P015,Fish,Meat,Chennai,None,32
2024-06-01,P015,Fish,Meat,Delhi,None,98
2024-06-01,P016,Chips,Snacks,Hyderabad,None,46
2024-06-01,P016,Chips,Snacks,Chennai,None,47
2024-06-01,P016,Chips,Snacks,Delhi,None,62
2024-06-01,P017,Cookies,Snacks,Bangalore,None,111
2024-06-01,P017,Cookies,Snacks,Delhi,None,51
2024-06-01,P017,Cookies,Snacks,Kolkata,None,83
2024-06-01,P018,Granola Bar,Snacks,Chennai,None,71
2024-06-01,P018,Granola Bar,Snacks,Mumbai,None,33
2024-06-01,P018,Granola Bar,Snacks,Bangalore,None,113
2024-06-01,P019,Frozen Pizza,Frozen,Hyderabad,None,65
2024-06-01,P019,Frozen Pizza,Frozen,Delhi,None,92
2024-06-01,P019,Frozen Pizza,Frozen,Bangalore,None,78
2024-06-01,P020,Ice Cream,Frozen,Chennai,None,117
2024-06-01,P020,Ice Cream,Frozen,Bangalore,None,46
2024-06-01,P020,Ice Cream,Frozen,Kolkata,None,73
2024-06-01,P021,Iced Tea,Beverage,Pune,None,75
2024-06-01,P021,Iced Tea,Beverage,Bangalore,None,37
2024-06-01,P021,Iced Tea,Beverage,Hyderabad,None,79
2024-06-01,P022,Coconut Water,Beverage,Bangalore,None,40
2024-06-01,P022,Coconut Water,Beverage,Pune,None,99
2024-06-01,P022,Coconut Water,Beverage,Delhi,None,82
2024-06-01,P023,Baked Beans,Canned,Mumbai,None,104
2024-06-01,P023,Baked Beans,Canned,Bangalore,None,84
2024-06-01,P023,Baked Beans,Canned,Chennai,None,74
2024-06-01,P024,Canned Tuna,Canned,Pune,None,79
